country,region,happiness_score,gdp_per_capita,social_support,life_expectancy,freedom,generosity,corruption,year,region_avg_happiness,region_avg_gdp,happiness_vs_region,happiness_zscore
Switzerland,Western Europe,7.587,1.39651,1.34951,0.94143,0.66557,0.29678,0.41978,2015,6.689619047619048,1.2985957142857143,0.897380952380952,1.9346078229297696
Iceland,Western Europe,7.561,1.30232,1.40223,0.94784,0.62877,0.4363,0.14145,2015,6.689619047619048,1.2985957142857143,0.8713809523809521,1.9112874983452979
Denmark,Western Europe,7.527,1.32548,1.36058,0.87464,0.64938,0.34139,0.48357,2015,6.689619047619048,1.2985957142857143,0.8373809523809523,1.8807916892732965
Norway,Western Europe,7.522,1.459,1.33095,0.88521,0.66973,0.34699,0.36503,2015,6.689619047619048,1.2985957142857143,0.8323809523809524,1.8763070114685905
Canada,North America,7.427,1.32629,1.32261,0.90563,0.63297,0.45811,0.32957,2015,7.273,1.3603999999999998,0.15399999999999991,1.7910981331791738
Finland,Western Europe,7.406,1.29025,1.31826,0.88911,0.64169,0.23351,0.41372,2015,6.689619047619048,1.2985957142857143,0.7163809523809519,1.772262486399408
Netherlands,Western Europe,7.378,1.32944,1.28017,0.89284,0.61576,0.4761,0.31814,2015,6.689619047619048,1.2985957142857143,0.6883809523809523,1.7471482906930542
Sweden,Western Europe,7.364,1.33171,1.28907,0.91087,0.6598,0.36262,0.43844,2015,6.689619047619048,1.2985957142857143,0.6743809523809521,1.734591192839877
New Zealand,Australia and New Zealand,7.286,1.25018,1.31967,0.90837,0.63938,0.47501,0.42922,2015,7.285,1.29188,0.0009999999999994458,1.6646302190864612
Australia,Australia and New Zealand,7.284,1.33358,1.30923,0.93156,0.65124,0.43562,0.35637,2015,7.285,1.29188,-0.001000000000000334,1.662836347964579
Israel,Middle East and Northern Africa,7.278,1.22857,1.22393,0.91387,0.41319,0.33172,0.07785,2015,5.406899999999999,1.0669735,1.8711000000000002,1.6574547345989314
Costa Rica,Latin America and Caribbean,7.226,0.95578,1.23788,0.86027,0.63376,0.25497,0.10583,2015,6.144681818181818,0.8768154545454546,1.0813181818181823,1.6108140854299882
Austria,Western Europe,7.2,1.33723,1.29704,0.89042,0.62433,0.33088,0.18676,2015,6.689619047619048,1.2985957142857143,0.5103809523809524,1.5874937608455166
Mexico,Latin America and Caribbean,7.187,1.02054,0.91451,0.81444,0.48181,0.14074,0.21312,2015,6.144681818181818,0.8768154545454546,1.0423181818181826,1.5758335985532808
United States,North America,7.119,1.39451,1.24711,0.86179,0.54604,0.40105,0.1589,2015,7.273,1.3603999999999998,-0.15399999999999991,1.5148419804092772
Brazil,Latin America and Caribbean,6.983,0.98124,1.23287,0.69702,0.49049,0.14574,0.17521,2015,6.144681818181818,0.8768154545454546,0.838318181818182,1.3928587441212708
